buying,maint,doors,persons,lug_boot,safety,class
med,HIGH,3,4,SMALL,low,unacc
vhigh,HIGH,4,4,big,MED,unacc
med,low,4,MORE,small,med,acc
VHIGH,med,5more,2,big,MED,unacc
LOW,med,4,2,med,high,unacc
low,MED,5MORE,more,med,med,good
high,LOW,4,4,med,LOW,UNACC
low,MED,2,2,big,LOW,unacc
vhigh,HIGH,5MORE,more,small,LOW,UNACC
high,high,4,more,MED,med,acc
med,high,4,4,big,med,acc
vhigh,med,5more,4,big,MED,acc
vhigh,low,4,2,BIG,high,unacc
med,high,5more,2,med,LOW,unacc
med,high,5more,4,small,high,acc
NaN,,NaN,0,NaN,NaN,
vhigh,high,4,2,big,med,unacc
LOW,HIGH,2,2,SMALL,med,UNACC
vhigh,med,2,2,big,low,unacc
HIGH,MED,5MORE,2,SMALL,high,unacc
vhigh,VHIGH,3,2,BIG,high,unacc
MED,vhigh,4,4,small,low,unacc
high,HIGH,4,more,BIG,med,acc
vhigh,VHIGH,3,4,med,med,UNACC
med,VHIGH,2,MORE,big,high,ACC
,,,,,,
low,high,4,2,med,high,UNACC
med,low,2,2,small,med,unacc
high,high,4,2,SMALL,low,unacc
HIGH,VHIGH,2,2,small,high,UNACC
high,vhigh,3,2,big,high,UNACC
high,med,2,MORE,SMALL,high,unacc
med,med,5more,more,MED,high,vgood
HIGH,VHIGH,4,2,big,high,UNACC
vhigh,VHIGH,2,4,med,low,unacc
,NaN,NaN,0,,0,NaN
high,low,5MORE,2,small,low,unacc
MED,low,2,more,BIG,low,unacc
HIGH,high,3,4,small,LOW,unacc
high,vhigh,5MORE,MORE,BIG,low,unacc
vhigh,low,5more,4,big,med,acc
HIGH,HIGH,5more,2,big,low,unacc
low,med,3,2,small,HIGH,unacc
vhigh,high,2,4,small,MED,unacc
vhigh,low,2,4,big,low,unacc
low,low,3,4,small,HIGH,good
vhigh,VHIGH,3,4,small,low,unacc
vhigh,high,4,4,big,low,UNACC
low,med,3,2,BIG,high,unacc
med,low,4,4,SMALL,med,ACC
high,high,2,more,med,med,unacc
MED,high,3,2,small,MED,unacc
,,,,,,
VHIGH,low,2,2,MED,med,unacc
,,,,,,
NaN,,0,,0,0,0
LOW,med,3,MORE,MED,med,GOOD
VHIGH,high,5more,more,BIG,med,unacc
low,vhigh,3,more,med,low,unacc
high,high,3,4,big,LOW,unacc
HIGH,high,3,2,med,high,unacc
MED,LOW,3,MORE,med,high,vgood
vhigh,low,3,4,med,LOW,unacc
low,VHIGH,2,more,med,med,UNACC
NaN,NaN,0,NaN,0,NaN,NaN
VHIGH,high,4,2,small,low,unacc
,,0,NaN,0,0,NaN
low,LOW,2,more,med,med,acc
low,low,3,4,BIG,high,vgood
med,med,4,2,med,high,unacc
vhigh,high,3,more,med,med,UNACC
high,high,4,more,small,med,unacc
med,vhigh,4,2,small,low,unacc
low,vhigh,5more,more,med,high,acc
high,high,5more,4,big,HIGH,ACC
vhigh,med,4,MORE,big,low,unacc
low,HIGH,3,more,small,high,ACC
high,low,2,4,small,HIGH,acc
low,low,3,more,big,LOW,unacc
high,HIGH,4,4,small,high,acc
vhigh,HIGH,2,4,BIG,med,unacc
vhigh,low,3,4,med,med,unacc
0,NaN,0,0,,NaN,NaN
0,,NaN,0,0,0,NaN
low,low,2,more,big,high,vgood
high,vhigh,4,MORE,med,high,unacc
high,low,2,MORE,BIG,low,unacc
low,LOW,2,more,small,high,unacc
HIGH,high,2,2,small,low,unacc
high,high,5more,2,big,med,UNACC
VHIGH,LOW,3,more,small,high,acc
LOW,med,4,2,BIG,med,UNACC
low,vhigh,5MORE,2,small,med,unacc
med,med,5MORE,4,big,low,unacc
high,low,2,4,BIG,low,UNACC
high,high,3,2,small,LOW,unacc
low,low,2,4,small,med,acc
low,med,2,more,big,high,vgood
vhigh,vhigh,2,more,small,med,unacc
NaN,NaN,,,0,NaN,NaN
high,HIGH,4,4,big,med,ACC
med,MED,2,2,SMALL,med,unacc
med,low,5more,2,med,high,unacc
vhigh,med,4,2,big,low,unacc
low,med,2,4,big,HIGH,vgood
vhigh,med,2,2,MED,low,unacc
high,VHIGH,5MORE,4,big,high,unacc
med,vhigh,3,2,big,med,unacc
HIGH,low,4,4,SMALL,HIGH,ACC
high,vhigh,3,2,big,med,unacc
high,MED,5more,4,med,MED,ACC
vhigh,vhigh,5more,4,med,low,unacc
HIGH,vhigh,3,2,med,med,unacc
med,MED,4,more,big,high,vgood
NaN,NaN,NaN,,,,
low,low,3,more,small,low,UNACC
low,HIGH,3,2,BIG,LOW,unacc
high,low,2,4,med,high,acc
med,low,4,MORE,BIG,high,vgood
MED,low,4,2,big,high,UNACC
VHIGH,med,4,4,big,MED,ACC
high,HIGH,2,4,small,high,acc
NaN,NaN,0,0,0,NaN,NaN
low,VHIGH,4,2,big,high,unacc
vhigh,med,4,MORE,big,MED,acc
med,high,4,2,med,LOW,unacc
high,low,4,4,med,high,acc
MED,HIGH,2,2,med,MED,unacc
low,high,2,4,big,MED,acc
low,low,5more,4,big,MED,good
low,med,2,4,small,LOW,UNACC
low,vhigh,2,4,MED,med,unacc
HIGH,low,2,4,big,med,acc
med,med,2,MORE,big,HIGH,VGOOD
low,LOW,4,4,med,high,vgood
high,low,4,4,big,MED,acc
LOW,VHIGH,4,4,BIG,HIGH,acc
med,vhigh,2,4,big,low,unacc
high,LOW,4,more,small,low,UNACC
,,,,,,
LOW,med,5more,more,med,low,UNACC
HIGH,vhigh,2,4,big,med,unacc
high,low,4,2,small,low,unacc
high,MED,3,2,big,high,unacc
vhigh,med,5more,2,BIG,low,unacc
vhigh,low,3,2,small,low,UNACC
LOW,high,2,4,med,high,acc
med,HIGH,5more,4,small,low,unacc
vhigh,low,4,4,small,low,unacc
vhigh,med,3,2,BIG,MED,unacc
vhigh,vhigh,4,more,small,high,unacc
MED,low,2,more,SMALL,med,UNACC
low,high,2,2,big,low,unacc
MED,vhigh,4,4,MED,HIGH,ACC
LOW,high,2,more,MED,high,ACC
med,low,5more,2,big,LOW,unacc
high,low,2,4,BIG,high,acc
MED,med,5more,4,med,low,unacc
low,LOW,5more,2,MED,med,unacc
vhigh,high,4,4,small,high,unacc
high,low,2,2,MED,high,UNACC
high,low,3,more,SMALL,med,UNACC
med,high,5more,more,med,low,UNACC
VHIGH,LOW,3,2,big,med,unacc
vhigh,med,2,4,BIG,high,ACC
NaN,,0,0,NaN,0,NaN
vhigh,low,4,more,big,med,acc
high,med,5more,4,med,low,unacc
low,MED,4,4,big,HIGH,VGOOD
low,high,5MORE,more,SMALL,med,acc
LOW,LOW,2,2,small,low,unacc
med,med,5more,2,small,med,unacc
high,MED,2,4,med,LOW,unacc
LOW,VHIGH,4,MORE,small,med,unacc
high,med,3,2,BIG,LOW,unacc
high,high,5more,2,SMALL,med,unacc
low,VHIGH,4,2,BIG,low,UNACC
vhigh,low,4,more,med,MED,acc
low,med,2,4,med,med,ACC
high,MED,3,4,med,low,unacc
med,vhigh,3,more,big,high,acc
high,VHIGH,2,2,BIG,low,unacc
VHIGH,high,3,4,SMALL,low,unacc
MED,VHIGH,3,2,med,low,unacc
MED,vhigh,3,2,small,med,UNACC
LOW,low,4,4,med,low,unacc
VHIGH,med,5more,more,SMALL,low,unacc
VHIGH,MED,2,more,small,LOW,UNACC
low,HIGH,4,more,med,high,VGOOD
0,NaN,0,0,,,NaN
HIGH,high,3,2,small,high,UNACC
NaN,0,,NaN,NaN,NaN,
low,low,3,4,med,low,unacc
med,vhigh,2,more,big,med,ACC
low,high,2,2,big,high,unacc
HIGH,vhigh,3,MORE,small,MED,unacc
HIGH,VHIGH,2,4,med,high,unacc
LOW,vhigh,2,2,big,med,unacc
high,MED,3,MORE,small,high,ACC
0,NaN,0,NaN,,,
0,,,0,,NaN,0
low,med,3,4,med,LOW,unacc
med,low,4,4,MED,high,VGOOD
high,med,5more,4,small,high,acc
HIGH,med,2,2,SMALL,low,unacc
VHIGH,vhigh,4,4,med,high,unacc
,,,,,,
,0,,,0,0,
low,LOW,4,2,med,high,unacc
low,LOW,4,2,big,med,unacc
high,low,4,more,big,low,UNACC
vhigh,med,5more,4,med,low,unacc
high,high,4,more,med,low,unacc
high,med,2,2,med,MED,unacc
MED,high,5more,2,med,HIGH,unacc
high,med,3,2,MED,low,unacc
LOW,low,4,2,BIG,high,unacc
LOW,vhigh,2,MORE,BIG,med,acc
VHIGH,high,5more,2,big,low,UNACC
LOW,med,2,4,big,med,GOOD
med,HIGH,4,more,big,high,ACC
NaN,0,,NaN,0,,0
low,med,2,4,MED,high,good
high,high,2,2,med,MED,UNACC
low,low,2,4,med,med,acc
med,LOW,4,2,big,low,UNACC
low,vhigh,5more,2,med,low,UNACC
high,high,2,more,big,high,acc
med,high,5more,more,small,med,unacc
MED,high,2,MORE,BIG,low,unacc
MED,low,2,more,big,med,good
VHIGH,med,2,4,SMALL,high,acc
0,,,NaN,,NaN,
med,MED,5more,MORE,BIG,med,acc
,,,,,,
high,VHIGH,5more,2,small,high,unacc
low,low,3,4,MED,med,acc
MED,high,4,2,SMALL,LOW,unacc
vhigh,med,5more,4,med,low,unacc
VHIGH,med,3,more,BIG,high,acc
vhigh,high,3,4,med,high,unacc
vhigh,med,2,more,MED,low,unacc
low,med,4,4,med,low,unacc
vhigh,low,5more,more,big,med,ACC
high,low,2,4,med,MED,unacc
,,0,0,,,NaN
med,vhigh,4,4,med,MED,acc
low,low,2,2,big,high,unacc
VHIGH,vhigh,3,4,small,high,UNACC
med,HIGH,3,4,med,med,unacc
med,med,4,more,small,MED,ACC
med,vhigh,4,more,big,HIGH,acc
VHIGH,high,5more,2,SMALL,MED,unacc
VHIGH,vhigh,4,4,BIG,low,UNACC
vhigh,med,2,2,SMALL,high,unacc
MED,med,5more,2,big,MED,unacc
low,low,2,more,big,med,GOOD
vhigh,VHIGH,3,more,big,high,UNACC
high,low,4,2,big,LOW,UNACC
HIGH,vhigh,2,2,med,MED,UNACC
high,low,4,2,small,HIGH,unacc
vhigh,med,5more,2,big,high,unacc
MED,low,2,4,BIG,low,unacc
med,med,2,more,small,MED,unacc
low,HIGH,5more,more,SMALL,HIGH,acc
high,vhigh,3,4,big,low,unacc
med,vhigh,3,4,small,high,acc
med,HIGH,5more,2,big,high,UNACC
med,med,4,4,SMALL,med,ACC
high,low,4,2,big,high,unacc
VHIGH,high,3,2,med,high,UNACC
low,vhigh,4,4,BIG,low,UNACC
low,high,3,more,BIG,low,unacc
HIGH,LOW,3,4,SMALL,high,acc
high,low,2,2,BIG,med,unacc
HIGH,VHIGH,2,2,big,med,unacc
,,,,,,
high,high,3,4,SMALL,high,acc
med,vhigh,3,4,med,low,unacc
LOW,vhigh,5MORE,4,small,MED,UNACC
MED,vhigh,5more,more,med,high,acc
MED,med,3,2,big,high,UNACC
NaN,NaN,NaN,0,0,NaN,NaN
low,low,3,2,big,MED,unacc
vhigh,med,3,4,MED,MED,unacc
low,med,5more,2,BIG,med,unacc
med,high,3,4,small,high,acc
high,vhigh,2,2,big,high,unacc
high,HIGH,5more,more,med,HIGH,ACC
HIGH,med,3,4,big,high,ACC
HIGH,low,5more,more,big,high,acc
med,high,5MORE,4,med,med,acc
MED,high,3,more,big,MED,ACC
,,,,,,
med,low,2,more,med,low,UNACC
low,HIGH,5more,2,small,low,unacc
,0,NaN,0,0,,NaN
low,med,4,2,med,low,unacc
HIGH,VHIGH,5MORE,2,big,med,unacc
med,low,5more,4,med,med,good
high,high,2,2,med,LOW,unacc
,0,,,NaN,,NaN
high,high,2,2,big,LOW,unacc
high,low,2,MORE,med,low,UNACC
high,low,2,2,small,high,unacc
,,,,,,
vhigh,med,5more,4,small,high,acc
low,vhigh,3,more,small,med,unacc
low,VHIGH,4,4,med,high,acc
,,,,,,
high,vhigh,4,more,small,LOW,unacc
med,VHIGH,5more,2,SMALL,low,unacc
high,med,2,more,big,MED,acc
,,,,,,
med,vhigh,2,MORE,small,med,UNACC
low,high,2,more,big,low,unacc
med,low,5more,more,big,low,unacc
HIGH,high,5more,MORE,big,high,acc
vhigh,low,5more,2,med,med,unacc
med,high,4,4,small,high,acc
LOW,high,3,2,big,MED,unacc
med,low,5more,4,med,LOW,unacc
low,med,5more,2,big,HIGH,unacc
VHIGH,high,4,more,SMALL,LOW,unacc
low,med,5more,more,small,med,acc
VHIGH,low,2,more,small,HIGH,unacc
MED,med,5more,4,small,LOW,unacc
high,HIGH,4,4,big,med,ACC
VHIGH,low,2,4,BIG,MED,ACC
low,high,5more,4,small,HIGH,ACC
low,LOW,2,4,small,low,unacc
low,med,5more,more,small,high,GOOD
vhigh,low,3,more,big,high,acc
,,,,,,
vhigh,med,3,2,SMALL,high,unacc
low,high,3,more,med,LOW,unacc
MED,med,5more,more,SMALL,med,acc
med,VHIGH,3,more,med,high,acc
LOW,high,4,4,big,high,vgood
high,low,3,more,BIG,med,acc
low,med,4,more,SMALL,med,ACC
med,low,3,MORE,MED,med,good
,,,,,,
MED,VHIGH,5MORE,2,med,MED,unacc
0,NaN,NaN,,NaN,0,NaN
VHIGH,med,4,2,BIG,high,unacc
med,low,5MORE,2,SMALL,high,unacc
vhigh,LOW,5more,2,small,high,UNACC
,0,NaN,NaN,,NaN,
med,high,4,4,big,high,acc
high,high,4,MORE,big,LOW,UNACC
low,LOW,2,4,med,HIGH,good
VHIGH,VHIGH,3,4,big,med,unacc
low,low,3,MORE,med,low,unacc
,,,,,,
LOW,VHIGH,4,4,big,med,acc
med,low,5more,more,SMALL,med,acc
vhigh,LOW,2,4,MED,med,UNACC
vhigh,low,2,2,big,high,unacc
med,MED,3,2,big,LOW,unacc
0,,0,NaN,0,NaN,NaN
MED,low,2,2,med,high,unacc
vhigh,low,2,more,SMALL,low,UNACC
0,0,NaN,NaN,0,NaN,0
med,vhigh,3,2,MED,high,unacc
NaN,0,NaN,0,NaN,0,0
,,NaN,NaN,0,,
med,med,4,2,BIG,low,UNACC
low,MED,2,2,MED,med,unacc
low,LOW,3,4,big,MED,good
MED,high,3,MORE,med,med,ACC
med,med,2,4,MED,high,acc
0,,,NaN,0,,NaN
med,med,4,more,small,MED,ACC
vhigh,high,2,2,MED,MED,unacc
LOW,low,5MORE,2,small,low,unacc
LOW,vhigh,4,MORE,big,high,acc
high,vhigh,3,4,big,med,unacc
med,vhigh,2,2,small,LOW,unacc
med,vhigh,2,4,BIG,HIGH,acc
vhigh,vhigh,4,2,med,high,unacc
med,med,5more,4,BIG,HIGH,VGOOD
high,high,2,4,med,med,UNACC
low,LOW,5more,4,med,low,unacc
,,,,,,
LOW,MED,2,MORE,med,low,unacc
vhigh,med,4,4,small,med,unacc
vhigh,low,2,more,SMALL,med,unacc
vhigh,low,2,more,med,med,UNACC
,,,,,,
MED,low,2,2,small,high,unacc
high,vhigh,5more,more,med,med,unacc
low,low,3,2,big,HIGH,unacc
low,VHIGH,5more,2,big,low,unacc
high,LOW,3,2,SMALL,high,unacc
,NaN,NaN,0,NaN,,
med,HIGH,5more,4,MED,low,unacc
vhigh,vhigh,3,more,small,high,unacc
high,HIGH,2,more,med,high,acc
HIGH,low,4,4,med,med,acc
VHIGH,med,5more,2,big,MED,unacc
low,vhigh,5more,4,med,HIGH,ACC
med,high,3,2,BIG,high,unacc
med,low,3,4,BIG,med,good
vhigh,vhigh,4,2,big,HIGH,unacc
HIGH,low,5more,more,SMALL,MED,unacc
LOW,MED,2,2,SMALL,MED,unacc
high,VHIGH,3,4,small,high,unacc
med,high,4,2,small,high,unacc
high,vhigh,3,4,med,HIGH,UNACC
high,low,3,2,SMALL,LOW,unacc
low,med,5more,2,SMALL,high,unacc
vhigh,low,4,4,SMALL,med,unacc
vhigh,med,3,2,BIG,low,UNACC
HIGH,med,5more,2,med,LOW,unacc
high,med,2,more,med,high,ACC
LOW,high,5more,MORE,med,high,VGOOD
MED,high,3,4,big,low,unacc
MED,vhigh,2,4,med,low,UNACC
med,vhigh,4,2,SMALL,high,unacc
LOW,low,3,2,med,high,UNACC
low,high,4,4,med,high,vgood
med,med,2,4,big,low,unacc
med,HIGH,2,4,small,med,unacc
vhigh,vhigh,5more,2,small,low,unacc
vhigh,med,3,2,med,low,unacc
high,VHIGH,2,2,med,LOW,unacc
vhigh,high,5more,more,big,low,unacc
vhigh,MED,2,2,small,med,unacc
vhigh,VHIGH,3,more,big,med,unacc
HIGH,high,3,more,small,MED,unacc
VHIGH,low,3,4,med,high,ACC
NaN,NaN,NaN,NaN,NaN,NaN,
med,vhigh,5more,more,SMALL,low,unacc
high,vhigh,2,MORE,small,low,unacc
low,med,4,more,MED,HIGH,VGOOD
vhigh,VHIGH,5more,2,big,MED,unacc
high,HIGH,4,2,med,HIGH,UNACC
VHIGH,med,3,2,small,low,unacc
0,0,,,,,0
HIGH,vhigh,4,4,med,MED,UNACC
vhigh,high,4,more,big,low,unacc
low,low,5more,more,small,med,acc
VHIGH,vhigh,4,2,big,low,unacc
high,VHIGH,4,more,med,low,unacc
high,VHIGH,2,more,big,low,unacc
NaN,,NaN,0,NaN,0,0
vhigh,VHIGH,4,4,small,HIGH,unacc
LOW,vhigh,5MORE,4,BIG,med,acc
low,low,2,4,big,MED,GOOD
high,low,3,2,big,high,unacc
HIGH,high,5MORE,more,med,MED,acc
high,high,5MORE,4,med,med,acc
med,vhigh,4,4,big,low,unacc
vhigh,HIGH,2,4,med,med,unacc
low,high,2,more,small,low,UNACC
high,vhigh,5more,4,small,med,UNACC
high,vhigh,2,more,med,high,unacc
,NaN,0,,,NaN,
low,high,5more,2,small,med,UNACC
med,VHIGH,4,more,small,LOW,unacc
vhigh,low,4,2,small,low,unacc
high,high,3,2,big,high,unacc
high,MED,4,MORE,MED,med,acc
high,vhigh,5more,MORE,small,low,unacc
low,med,3,4,big,low,unacc
high,low,3,4,med,med,unacc
low,VHIGH,4,more,med,HIGH,acc
VHIGH,LOW,3,more,small,high,acc
high,VHIGH,4,2,med,high,unacc
med,high,4,MORE,SMALL,HIGH,acc
NaN,NaN,0,,0,NaN,
vhigh,med,3,4,small,high,ACC
vhigh,low,3,2,big,high,unacc
high,med,5more,2,big,MED,unacc
vhigh,high,5more,more,med,low,unacc
med,vhigh,3,more,med,MED,acc
low,med,2,2,big,med,unacc
high,high,2,4,small,med,UNACC
high,high,5MORE,more,small,high,acc
0,,,0,,NaN,NaN
LOW,low,5MORE,more,small,high,good
NaN,NaN,,,0,NaN,0
high,high,4,2,MED,MED,unacc
high,vhigh,4,more,SMALL,med,unacc
HIGH,high,2,2,BIG,med,unacc
vhigh,low,4,2,med,high,unacc
low,high,4,4,big,med,acc
MED,med,4,more,big,low,UNACC
VHIGH,vhigh,5more,2,med,MED,unacc
low,MED,2,4,med,LOW,unacc
low,vhigh,4,2,med,high,unacc
low,med,4,2,big,high,unacc
med,med,4,4,med,med,acc
low,high,2,more,med,LOW,unacc
high,low,3,4,med,low,unacc
low,low,3,2,BIG,low,unacc
MED,vhigh,2,4,small,low,UNACC
low,low,4,more,big,high,vgood
low,low,3,4,small,low,unacc
med,vhigh,4,4,big,med,acc
NaN,0,NaN,0,NaN,0,0
vhigh,low,3,2,small,med,unacc
low,MED,4,MORE,BIG,low,unacc
med,high,3,4,BIG,MED,ACC
vhigh,low,2,2,med,high,unacc
low,high,2,4,MED,low,unacc
,0,0,NaN,,0,NaN
MED,vhigh,4,more,small,med,unacc
,NaN,,0,0,,NaN
low,vhigh,2,4,SMALL,med,unacc
high,vhigh,5more,4,small,LOW,UNACC
LOW,med,4,2,med,med,unacc
,,,,0,,
VHIGH,HIGH,3,more,MED,low,UNACC
VHIGH,low,3,2,big,low,unacc
LOW,HIGH,2,MORE,small,med,UNACC
vhigh,HIGH,2,4,BIG,med,unacc
med,vhigh,5MORE,4,big,LOW,unacc
med,high,2,4,big,low,unacc
VHIGH,low,5MORE,4,BIG,high,acc
HIGH,low,5MORE,4,big,low,UNACC
LOW,med,4,2,SMALL,HIGH,unacc
high,MED,2,more,big,HIGH,ACC
NaN,,,,,NaN,
low,vhigh,3,4,big,med,acc
,,,,,,
low,high,5more,more,big,med,acc
HIGH,med,3,4,small,med,unacc
high,LOW,3,2,med,high,unacc
med,high,2,2,small,med,UNACC
high,vhigh,5MORE,4,big,LOW,unacc
LOW,LOW,2,2,med,MED,unacc
HIGH,med,3,2,MED,med,UNACC
high,low,2,2,med,LOW,unacc
vhigh,VHIGH,2,2,med,high,unacc
NaN,0,,NaN,,,
med,low,3,2,SMALL,high,unacc
0,0,NaN,NaN,,,0
,NaN,,NaN,0,,0
HIGH,med,2,4,big,med,acc
med,med,4,4,big,high,vgood
vhigh,VHIGH,3,more,med,LOW,unacc
high,vhigh,4,2,big,med,unacc
vhigh,LOW,5more,2,big,med,unacc
med,high,4,4,small,med,unacc
LOW,low,2,more,med,LOW,UNACC
,,,,,,
VHIGH,VHIGH,3,2,small,high,unacc
high,HIGH,2,2,big,high,unacc
low,low,2,more,big,low,unacc
vhigh,LOW,3,more,med,MED,acc
high,MED,4,4,small,MED,UNACC
vhigh,med,2,more,med,high,ACC
HIGH,med,4,more,MED,high,acc
low,vhigh,3,2,small,low,unacc
med,low,5MORE,more,BIG,high,vgood
low,low,3,MORE,big,med,good
low,vhigh,5MORE,more,med,LOW,unacc
med,low,2,4,med,high,GOOD
HIGH,high,4,2,BIG,LOW,UNACC
med,vhigh,3,2,med,med,unacc
vhigh,high,5more,more,small,med,unacc
vhigh,high,5more,2,med,low,unacc
,,,,,,
vhigh,low,5more,4,small,med,unacc
HIGH,vhigh,4,2,small,MED,UNACC
MED,med,3,more,big,med,acc
low,LOW,5more,more,big,low,unacc
med,LOW,3,4,BIG,high,vgood
med,HIGH,2,2,med,LOW,UNACC
med,low,2,2,SMALL,LOW,unacc
low,vhigh,2,more,med,high,acc
vhigh,LOW,3,2,small,high,UNACC
,,,,,,
high,HIGH,5more,2,small,high,unacc
NaN,0,0,NaN,0,,0
high,LOW,2,more,small,high,unacc
NaN,,0,NaN,NaN,0,NaN
med,HIGH,2,4,small,high,acc
MED,med,3,2,small,med,unacc
0,,NaN,0,0,NaN,
high,HIGH,4,more,SMALL,low,unacc
high,high,2,4,BIG,med,acc
vhigh,vhigh,5more,4,BIG,low,UNACC
med,high,2,2,SMALL,high,UNACC
low,med,3,4,big,high,vgood
LOW,med,4,4,small,med,acc
vhigh,LOW,5more,4,med,med,ACC
NaN,NaN,0,NaN,NaN,NaN,
med,MED,3,more,small,LOW,UNACC
vhigh,vhigh,3,more,small,LOW,UNACC
vhigh,LOW,4,more,big,low,unacc
high,vhigh,2,2,small,MED,unacc
low,HIGH,4,2,big,high,UNACC
MED,med,4,2,big,high,unacc
LOW,high,3,2,SMALL,low,unacc
HIGH,high,4,2,big,med,UNACC
0,0,,,0,0,
high,high,3,4,MED,high,acc
med,med,5more,4,med,med,acc
